0,1
Administration Agreement,144
Amendment,146
"Notes Owned by the Issuing Entity, the Depositor, the Servicer and their Affiliates",148
Certain Legal Aspects of the Vehicle Trust and the 2025-2 SUBI,148
The Vehicle Trust,148
The 2025-2 SUBI,149
Insolvency-Related Matters,150
Dodd Frank Orderly Liquidation Framework,151
Certain Legal Aspects of the Specified Leases and the Specified Vehicles,154
General,154
Back-up Security Interests,154
Vicarious Tort Liability,155
Repossession of Specified Vehicles,156
Deficiency Judgments,156
Consumer Protection Laws,157
Other Limitations,158
Legal Proceedings,158
Material U.S. Federal Income Tax Considerations,158
Tax Characterization of the Issuing Entity,160
Partnership Audit Rules,160
Treatment of the Notes as Debt,160
Tax Considerations for U.S. Note Owners,161
Possible Alternative Characterization,163
Tax Status of the Vehicle Trust,164
Tax Considerations for Non-U.S. Note Owners,164
FATCA Withholding,165
Information Reporting and Backup Withholding,165
State and Local Tax Considerations,166
ERISA Considerations,166
Ratings of the Notes,168
Plan of Distribution,168
European Economic Area,169
United Kingdom,170
Requirements for Certain European Economic Area and United Kingdom Regulated Investors and Affiliates,170
Legal Opinions,172
Index of Principal Terms,173
