0,1
Commingling by the Servicer May Result in Delays and Reductions in Payments on Your Notes,25
"A Security Breach or a Cyber-Attack Affecting World Omni Financial Corp. Could Adversely Affect World Omni Financial Corp.’s Business, Results of Operations and Financial Condition, Which Could Have an Adverse Effect on Your Notes",26
You May Experience Reduced Return and Delays on Your Notes Resulting from Changes in the Sponsor’s Servicing System,26
RISKS RELATING TO ECONOMIC CONDITIONS AND OTHER EXTERNAL FACTORS,27
"The Adverse Events Arising from Pandemics, Epidemics and Other Wide-Spread Public Health Events May Result in Losses or Delays in Payment on Your Notes",27
The Geographic Concentration and Performance of the Receivables May Increase the Risk of Loss on Your Investment,28
"You May Have Difficulty Selling Your Notes and/or Obtaining Your Desired Price Due to the Absence of, or Illiquidity in, a Secondary Market for Such Notes and Because of General Global Economic or Political Conditions",29
The Notes May Not Be a Suitable Investment for Investors Subject to the EU Securitisation Regulation or the UK Securitisation Framework,29
The Return on Your Notes May Be Reduced Due to Varying Economic Circumstances and/or an Economic Downturn,30
"Climate Change Could Have an Adverse Effect on World Omni Financial Corp.’s Business and May, Directly or Indirectly, Cause Losses on Your Notes",32
RISKS RELATING TO CERTAIN REGULATORY AND MATERIAL LEGAL ASPECTS OF THE RECEIVABLES,33
"Federal Financial Regulatory Legislation Could Have an Adverse Effect on World Omni Financial Corp., the Depositor and the Issuing Entity, Which Could Result in Losses or Delays in Payments on Your Notes",33
Existing Legislation and Future Regulatory Reforms Could Have an Adverse Effect on World Omni Financial Corp.’s Business and Operating Results,37
"Receivables That Fail to Comply with Consumer Protection Laws May Be Unenforceable, Which May Result in Losses on Your Investment",37
The Return on Your Notes Could Be Reduced by Shortfalls Due to Military Action,38
