0,1
Rights  in the Receivables,157
Security  Interests in the Financed Vehicles,158
Repossession,159
Notice  of Sale; Redemption Rights,160
Deficiency  Judgments and Excess Proceeds,160
Consumer  Protection Law,160
Certain  Matters Relating to Bankruptcy,163
Dodd  Frank Orderly Liquidation Framework,164
Repurchase  Obligation,166
Other  Limitations,166
MATERIAL  UNITED STATES FEDERAL INCOME TAX CONSEQUENCES,167
Tax  Treatment of Issuing Entity,168
Opinions,168
Tax  Consequences to United States Holders,169
Tax  Consequences to Non-United States Holders,171
FATCA,173
Tax  Regulations for Related-Party Note Acquisitions,173
Possible  Alternative Treatments of the Notes and the Issuing Entity,174
STATE  AND LOCAL TAX CONSIDERATIONS,175
CERTAIN  CONSIDERATIONS FOR ERISA AND OTHER U.S. EMPLOYEE BENEFIT PLANS,175
United  Kingdom,179
European  Economic Area,180
FORWARD-LOOKING  STATEMENTS,180
REPORTS  TO NOTEHOLDERS,180
INCORPORATION  BY REFERENCE,180
LEGAL  OPINIONS,181
GLOSSARY,182
INDEX  OF PRINCIPAL TERMS,187
