0,1,2,3
,,,
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Hyundai Auto Receivables  Trust 2026-B  Issuing entity,Hyundai Auto Receivables  Trust 2026-B  Issuing entity
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,"If the aggregate initial principal amount of the notes is $1,600,000,000, the following notes will be issued:","If the aggregate initial principal amount of the notes is $1,600,000,000, the following notes will be issued:"
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class A-1  Notes,"$340,000,000"
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class A-2-A  Notes,$●
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class A-2-B  Notes,$●
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class A-3  Notes,"$550,800,000"
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class A-4  Notes,"$79,630,000"
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class B  Notes,"$29,540,000"
"No dealer, salesperson or other person has been authorized to give any information or to make any representations not contained in this prospectus and, if given or made, such information or representations must not be relied upon as having been authorized by the depositor, the servicer or the underwriters. This prospectus does not constitute an offer to sell, or a solicitation of an offer to buy, the securities offered hereby to anyone in any jurisdiction in which the person making such offer or solicitation is not qualified to do so or to anyone to whom it is unlawful to make any such offer or solicitation. Neither the delivery of this prospectus nor any sale made hereunder shall, under any circumstances, create an implication that information herein or therein is correct as of any time since the date of this prospectus.  ———————  Hyundai ABS Funding, LLC Depositor  Hyundai Capital America Sponsor, Seller, Administrator and Servicer  ———————  Until 90 days after the date of this prospectus, all dealers effecting transactions in the Notes, whether or not participating in this distribution, may be required to deliver a prospectus to which it relates. This delivery requirement is in addition to the obligation of dealers to deliver a prospectus when acting as underwriters and with respect to their unsold allotments or subscriptions.",,Class C  Notes,"$49,230,000"
