0,1,2
,,Class A-3 Notes: 89238V AD0  Class A-4 Notes: 89238V AE8
Tax Status,,"Subject to important considerations described under “Material U.S. Federal Income Tax Considerations” and “Certain State Tax Consequences” in this prospectus, Morgan, Lewis & Bockius LLP, special tax counsel to the issuing entity, will deliver its opinion  that:"
,,"• as of their issuance date, the class A notes held by parties unaffiliated with the issuing entity will be classified as debt for U.S. federal income tax purposes; and"
,,"• the issuing entity will not be classified as an association or a publicly traded partnership, in either case taxable as a corporation for U.S. federal income tax purposes."
,,"The characterization of the retained notes as equity or indebtedness for U.S. federal income tax purposes will be determined only when such retained notes are transferred  to a party unaffiliated with the issuing entity. If you purchase notes offered by this prospectus, you will agree to treat such notes as debt for purposes of U.S. federal and state income tax, franchise tax and any other tax measured  in whole or in part by income. You should consult your own tax advisor regarding the U.S. federal tax considerations applicable to the purchase, ownership and disposition of the notes offered by this prospectus, and the tax  consequences arising under the laws of any state or other taxing jurisdiction."
,,"For additional information regarding the application of U.S. federal income tax and state tax laws to the issuing entity and the notes offered by this prospectus, you  should refer to “Material U.S. Federal Income Tax Considerations” and “Certain State Tax Consequences” in this prospectus."
ERISA Considerations,,"The class A notes sold to parties unaffiliated with the issuing entity may generally be acquired by employee benefit plans and individual retirement accounts, subject to  those considerations discussed under “ERISA Considerations” in this prospectus."
,,"For additional information, you should refer to “ERISA Considerations” in this prospectus. If you are a benefit plan fiduciary  considering the acquisition of the notes you should, among other things, consult with your counsel in determining whether all required conditions have been satisfied."
Certain Investment Company Act Considerations,,"The issuing entity will be relying on an exclusion or exemption from the definition of “investment company” under the Investment Company Act of 1940, as amended, contained  in Rule 3a-7 under the Investment Company Act of 1940, as amended, although there may be additional exclusions or exemptions available to the issuing entity. The issuing entity is being structured so as not to constitute a “covered  fund” for purposes of the regulations adopted to implement Section 619 of the Dodd-Frank Wall Street Reform and Consumer Protection Act."
Eligibility for Purchase by Money Market Funds,,"The class A-1 notes have been structured to be “eligible securities” as defined in paragraph (a)(11) of Rule 2a-7 under the Investment Company Act of 1940, as amended. Rule  2a-7 includes additional criteria for"
